BENE_SEX_IDENT_CD,BENE_AGE_CAT_CD,CC_ALZHDMTA,CC_CANCER,CC_CHF,CC_CHRNKIDN,CC_COPD,CC_DEPRESSN,CC_DIABETES,CC_ISCHMCHT,CC_OSTEOPRS,CC_RA_OA,CC_STRKETIA,CC_2_OR_MORE,DUAL_STUS,BENE_COUNT_PA_LT_12,AVE_MO_EN_PA_LT_12,AVE_PA_PAY_PA_LT_12,AVE_IP_PAY_PA_LT_12,AVE_SNF_PAY_PA_LT_12,AVE_OTH_PAY_PA_LT_12,AVE_IP_ADM_PA_LT_12,AVE_SNF_DAYS_PA_LT_12,BENE_COUNT_PA_EQ_12,AVE_PA_PAY_PA_EQ_12,AVE_IP_PAY_PA_EQ_12,AVE_SNF_PAY_PA_EQ_12,AVE_OTH_PAY_PA_EQ_12,AVE_IP_ADM_PA_EQ_12,AVE_SNF_DAYS_PA_EQ_12,BENE_COUNT_PB_LT_12,AVE_MO_EN_PB_LT_12,AVE_PB_PAY_PB_LT_12,AVE_CA_PAY_PB_LT_12,AVE_OP_PAY_PB_LT_12,AVE_OTH_PAY_PB_LT_12,AVE_CA_VST_PB_LT_12,AVE_OP_VST_PB_LT_12,BENE_COUNT_PB_EQ_12,AVE_PB_PAY_PB_EQ_12,AVE_CA_PAY_PB_EQ_12,AVE_OP_PAY_PB_EQ_12,AVE_OTH_PAY_PB_EQ_12,AVE_CA_VST_PB_EQ_12,AVE_OP_VST_PB_EQ_12,BENE_COUNT_PC_LT_12,AVE_MO_EN_PC_LT_12,BENE_COUNT_PC_EQ_12,BENE_COUNT_PD_LT_12,AVE_MO_EN_PD_LT_12,AVE_PDE_CST_PD_LT_12,AVE_PDE_PD_LT_12,BENE_COUNT_PD_EQ_12,AVE_PDE_CST_PD_EQ_12,AVE_PDE_PD_EQ_12
1,1,,,1,1,,,0,0,,0,,1,0,62,7.661,48807,41383,4943,2481,2.323,13.984,164,37565,33994,2437,1134,2.134,6.134,64,7.609,14997,9443,4405,1149,6.453,7.594,157,19578,7989,7921,3668,12.497,11.408,,,,36,6.806,1373,23.361,92,5560,62.739
1,1,,,1,1,,,0,0,,0,,1,1,57,7.772,83179,69853,11430,1896,3.912,28.982,164,51453,42882,7174,1397,2.762,18.323,58,7.724,24261,14151,8779,1331,6.569,8.414,163,20856,11315,6985,2556,10.859,14.35,,,,62,7.097,5102,43.242,159,10533,102.302
1,1,,,1,1,,,0,0,,1,,1,0,30,6.7,32251,,,,,,119,23890,19979,2790,1121,1.748,6.269,32,6.5,13683,9611,2970,1102,10.188,6.25,116,17283,7171,6529,3583,13.888,10.181,,,,,,,,78,5868,64.654
1,1,,,1,1,,,0,0,,1,,1,1,,,,,,,,,187,40204,30489,8576,1139,2.535,22.444,,,,,,,,,186,20809,9957,7174,3678,12.43,14.441,,,,,,,,185,10054,94.87
1,1,,,1,1,,,0,1,,0,,1,0,59,7.78,51675,46129,2522,3024,2.949,6.22,191,42682,36957,4406,1319,2.555,9.812,61,7.59,17395,10413,4742,2240,8.115,6.885,187,19998,9651,8217,2130,13.791,11.898,,,,39,5.744,1801,21,78,6827,63.782
1,1,,,1,1,,,0,1,,0,,1,1,43,7.233,52049,44805,4708,2536,3.233,13.837,123,54297,46143,6909,1245,3.179,16.382,44,7.318,18665,11538,5048,2079,6.523,6.682,122,23526,12240,9145,2141,12.631,15.926,,,,41,6.39,4882,39.268,123,8412,93.626
1,1,,,1,1,,,0,1,,1,,1,0,52,7.212,63918,58705,3502,1711,2.962,7.385,269,41955,36246,4100,1609,2.822,9.937,55,7.218,20688,11610,4953,4125,8.8,6.582,265,21984,11515,6659,3810,17.004,12.483,,,,47,7.085,2165,38,135,5973,78.496
1,1,,,1,1,,,0,1,,1,,1,1,46,9.109,51537,44233,,,3.5,,199,53080,43599,8247,1234,3.141,20.709,48,8.958,21044,12176,6821,2047,7.854,10.833,197,26568,13998,9448,3122,13.645,15.797,,,,40,8.425,5811,68.375,203,8783,103.034
1,1,,,1,1,,,1,0,,0,,1,0,67,6.463,80710,73296,5352,2062,3.164,13.388,186,53788,46106,6101,1581,2.946,13.731,67,6.507,21081,13516,6954,611,6.642,8.672,178,24766,12404,9001,3361,13.242,12.652,,,,31,5.806,2850,25.484,76,6203,69.895
1,1,,,1,1,,,1,0,,0,,1,1,50,7.92,83992,73853,7696,2443,3.56,24.76,161,60585,50026,8703,1856,3.342,25.839,51,7.863,24014,15788,5985,2241,6.549,9.569,160,31121,16423,10474,4224,11.306,17.175,,,,52,7.462,3992,56.962,158,10785,112.475
